"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","replicates","is_baseline"
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,79,0.795299499191608,0.547586823208224,0.914118792599805,0.936708860759494,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,79,0.777909223549825,0.575476514647648,0.904454722492697,0.936708860759494,12,0.151898734177215,0,0.263736263736264,0.05,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,79,0.795733270239363,0.669020543194249,0.898855890944499,0.924050632911392,20,0.253164556962025,0,0.404040404040404,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250724,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,60,0.829607843137255,0.606585499789511,0.794276187829953,0.933333333333333,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,60,0.740658800393314,0.414991272588888,0.811114198388441,0.95,1,0.0166666666666667,0,0.0327868852459016,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,60,0.778186274509804,0.49720252618902,0.802611836621284,0.983333333333333,9,0.133333333333333,0.111111111111111,0.231884057971014,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,60,0.833186274509804,0.586146756456325,0.805056960266741,0.983333333333333,4,0.0666666666666667,0,0.125,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250725,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,92,0.802018633540373,0.615717199074305,0.834116794846107,0.934782608695652,0,0,0,0,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,92,0.757587521174478,0.528532279156101,0.82570164758103,0.934782608695652,0,0,0,0,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,92,0.765422077922078,0.559625566457202,0.843533745357027,0.956521739130435,9,0.0760869565217391,0.222222222222222,0.138613861386139,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,1,FALSE
