"analysis_protocol","replicates","method","nominal_fdr","runs","precision_mean","precision_sd","precision_se","recall_mean","recall_sd","recall_se","directional_recall_mean","directional_recall_sd","directional_recall_se","f1_mean","f1_sd","f1_se","realized_fdp_mean","realized_fdp_sd","realized_fdp_se","specificity_mean","specificity_sd","specificity_se","balanced_accuracy_mean","balanced_accuracy_sd","balanced_accuracy_se","calls_mean","calls_sd","calls_se"
"crispulator-f1-threshold-curves-v1",1,"DESeq2",0.001,5,1,0,0,0.0997892453624268,0.079269891334237,0.0354505731184751,0.0997892453624268,0.079269891334237,0.0354505731184751,0.174525437476038,0.120458212881379,0.0538705504901807,0,0,0,1,0,0,0.549894622681213,0.0396349456671185,0.0177252865592375,8.2,6.1400325732035,2.7459060435492
"crispulator-f1-threshold-curves-v1",1,"DESeq2",0.005,5,1,0,0,0.154021784094302,0.0929878121682166,0.0415854138174229,0.154021784094302,0.0929878121682166,0.0415854138174229,0.258349945329348,0.13340082970139,0.0596586646934361,0,0,0,1,0,0,0.577010892047151,0.0464939060841083,0.0207927069087114,12.8,7.46324326281812,3.33766385365573
"crispulator-f1-threshold-curves-v1",1,"DESeq2",0.01,5,0.992857142857143,0.0159719141249985,0.00714285714285714,0.198056050158093,0.0817402847810815,0.036555366654138,0.198056050158093,0.0817402847810815,0.036555366654138,0.323918722008556,0.103450532572468,0.046264484628119,0.00714285714285714,0.0159719141249985,0.00714285714285714,0.999376947040498,0.00139318877102791,0.000623052959501558,0.598716498599296,0.0401856886053673,0.017971586288848,16.8,6.94262198308391,3.104834939252
"crispulator-f1-threshold-curves-v1",1,"DESeq2",0.05,5,0.942436868686869,0.0469595218831097,0.0210009366243044,0.306440336545552,0.0741361188285386,0.0331546802577229,0.306440336545552,0.0741361188285386,0.0331546802577229,0.457521906047876,0.082100640359025,0.0367165225678085,0.0575631313131313,0.0469595218831097,0.0210009366243044,0.994243433984022,0.00515089739140115,0.00230355134245986,0.650341885264787,0.0356327592050391,0.0159354543616698,27.4,7.73304597167248,3.45832329315812
"crispulator-f1-threshold-curves-v1",1,"DESeq2",0.1,5,0.858872568036655,0.0579575151061567,0.0259193887168675,0.419357736123251,0.118034751043841,0.0527867454082584,0.419357736123251,0.118034751043841,0.0527867454082584,0.554412848749189,0.107621402846498,0.0481297545197318,0.141127431963345,0.0579575151061567,0.0259193887168675,0.981666804335517,0.00942824384511076,0.00421643882922233,0.700512270229384,0.0578712507976865,0.0258808101453132,40,7.90569415042095,3.53553390593274
"crispulator-f1-threshold-curves-v1",1,"edgeR-QL",0.001,5,0.869858366847351,0.0463970571889146,0.0207493947660717,0.402145531850605,0.0678003648243773,0.0303212449293187,0.402145531850605,0.0678003648243773,0.0303212449293187,0.546747266194058,0.0641170215122473,0.0286740037232402,0.130141633152649,0.0463970571889146,0.0207493947660717,0.984141415242305,0.00637582016678005,0.00285135346104685,0.693143473546455,0.0342239410735225,0.0153054117396687,38.2,3.42052627529741,1.52970585407784
"crispulator-f1-threshold-curves-v1",1,"edgeR-QL",0.005,5,0.769765023418274,0.0571063203969365,0.0255387228704866,0.512228193423765,0.0640657557955196,0.0286510769977366,0.512228193423765,0.0640657557955196,0.0286510769977366,0.611256718363109,0.0410859247846118,0.0183741841473671,0.230234976581726,0.0571063203969365,0.0255387228704866,0.959488452739798,0.0107898270230855,0.00482535733781667,0.735858323081782,0.0306510515967444,0.0137075669904348,55.4,5.85662018573853,2.61916017074176
"crispulator-f1-threshold-curves-v1",1,"edgeR-QL",0.01,5,0.712112841596323,0.0591542164670846,0.0264545698352277,0.543782288552919,0.0700809336638184,0.0313411463197903,0.543782288552919,0.0700809336638184,0.0313411463197903,0.612357617237444,0.0389642514381796,0.0174253429816327,0.287887158403677,0.0591542164670847,0.0264545698352277,0.941677878559119,0.0139202972935258,0.00622534620306602,0.742730083556019,0.0340198892041012,0.0152141569694763,63.6,6.76756972627545,3.02654919008431
"crispulator-f1-threshold-curves-v1",1,"edgeR-QL",0.05,5,0.5570500931691,0.0527086278132117,0.0235720149582155,0.63708209682699,0.0517069008612544,0.0231240290463215,0.63708209682699,0.0517069008612544,0.0231240290463215,0.591900536612005,0.0328248675012569,0.0146797270170468,0.442949906830901,0.0527086278132118,0.0235720149582155,0.864405606653183,0.0276062430934608,0.0123458872320725,0.750743851740087,0.0308781875595782,0.013809145281041,96,12.9034879005639,5.7706152185014
"crispulator-f1-threshold-curves-v1",1,"edgeR-QL",0.1,5,0.474276511257238,0.0608361827487172,0.0272067680235463,0.709687303283082,0.0751943786349599,0.0336279484307256,0.707726518969356,0.0782597956989529,0.0349988446176209,0.56417163081875,0.0413821103987999,0.0185066423808235,0.525723488742762,0.0608361827487172,0.0272067680235463,0.787562202087464,0.049700691518702,0.022226824952913,0.748624752685273,0.0350112593701477,0.0156575111859053,126.4,21.651789764359,9.68297474952816
