gene_id	SYMBOL	HT29_LARGE_INTESTINE
CYP3A43 (64816)	CYP3A43	0
SLC7A9 (11136)	SLC7A9	0.137503523749935
SPAST (6683)	SPAST	2.81147103052984
NRXN3 (9369)	NRXN3	0.0143552929770701
OSBPL5 (114879)	OSBPL5	4.87872534148011
AQR (9716)	AQR	4.25247621413522
CPS1 (1373)	CPS1	0.070389327891398
C8B (732)	C8B	0
FHL1 (2273)	FHL1	0.389566811762726
RTF2 (51507)	RTF2	6.42928119333566
GABRA1 (2554)	GABRA1	0
NLRP2 (55655)	NLRP2	0.176322772640463
SLC45A4 (57210)	SLC45A4	4.62351574149055
RNF10 (9921)	RNF10	6.44277765930152
ZNF839 (55778)	ZNF839	1.88362081628567
ZDHHC6 (64429)	ZDHHC6	5.23610988988963
GRAMD1B (57476)	GRAMD1B	5.19455988602261
RNH1 (6050)	RNH1	6.93628458266144
NDUFS1 (4719)	NDUFS1	6.21645486514476
RB1CC1 (9821)	RB1CC1	3.51096191927738
ERP44 (23071)	ERP44	3.73660487531425
ALAS1 (211)	ALAS1	4.66163560233596
BIRC3 (330)	BIRC3	1.15055967657538
AKAP11 (11215)	AKAP11	3.36597242759338
GLRX2 (51022)	GLRX2	4.33985000288462
SNAPC1 (6617)	SNAPC1	1.55090066464752
DERA (51071)	DERA	5.09634619899318
STRAP (11171)	STRAP	7.03386345186628
ABCC2 (1244)	ABCC2	0.263034405833794
DEF6 (50619)	DEF6	1.02147972741045
PLEKHO1 (51177)	PLEKHO1	0.575312330687437
GCLM (2730)	GCLM	3.30742852519225
UBR2 (23304)	UBR2	2.86195536414487
EHD2 (30846)	EHD2	3.94673086014031
DEPDC1 (55635)	DEPDC1	3.52732060787705
CCDC28A (25901)	CCDC28A	4.49249415167943
RRAGD (58528)	RRAGD	0
HSF2 (3298)	HSF2	3.03738222200308
PHF20 (51230)	PHF20	4.84699468696557
HSD17B6 (8630)	HSD17B6	0.111031312388744
NR1H3 (10062)	NR1H3	6.08873524619028
TYMP (1890)	TYMP	0.823749360308273
NCAPH2 (29781)	NCAPH2	4.84096670448742
TOMM34 (10953)	TOMM34	5.88923015239289
SEC63 (11231)	SEC63	4.44824022521607
KPNA6 (23633)	KPNA6	3.93828579188405
VIM (7431)	VIM	1.65992455840238
FAS (355)	FAS	1.50589092972996
RNASET2 (8635)	RNASET2	6.91229058335111
CD44 (960)	CD44	8.10512279826352
KCNG1 (3755)	KCNG1	0
AGPAT4 (56895)	AGPAT4	0.411426245726465
SLAMF7 (57823)	SLAMF7	0.0285691521967709
BTN3A1 (11119)	BTN3A1	2.38128337250378
MIPEP (4285)	MIPEP	4.80683958179819
PRKCH (5583)	PRKCH	2.93357263826102
INSRR (3645)	INSRR	0.0285691521967709
IFNGR1 (3459)	IFNGR1	5.36492255850577
B4GALT7 (11285)	B4GALT7	3.83794324189103
SH2D2A (9047)	SH2D2A	2.41683974191283
VRK2 (7444)	VRK2	3.95046841415012
TNFRSF1B (7133)	TNFRSF1B	0.0976107966264223
VEZT (55591)	VEZT	4.5981269599196
