"analysis_protocol","scope","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","BARCS-EB","auroc",5,-0.00156031919053861,0.00935394493918244,-0.0131747758627017,0.0100541374816245
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","BARCS-EB","average_precision",5,0.000402561443400029,0.0168212671075084,-0.0204838003281623,0.0212889232149623
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","BARCS-EB","directional_recall_fdr_0_10",5,-0.117285369477088,0.0882748349978552,-0.226893054041303,-0.00767768491287384
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","BARCS-EB","empirical_fdp_fdr_0_10",5,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","BARCS-EB","f1_fdr_0_10",5,-0.201376722692512,0.135777278517816,-0.36996648120217,-0.0327869641828545
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-original","BARCS-EB","negative_control_p_below_0_05",5,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-EB","auroc",5,-0.0437975010466714,0.0344797636780223,-0.0866097822722454,-0.000985219821097311
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-EB","average_precision",5,-0.11538351028467,0.0406372443085929,-0.16584131352886,-0.0649257070404792
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-EB","directional_recall_fdr_0_10",5,-0.110030467516304,0.093246768712496,-0.225811623175443,0.00575068814283546
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-EB","empirical_fdp_fdr_0_10",5,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-EB","f1_fdr_0_10",5,-0.187127037951024,0.145422569845393,-0.367693007454321,-0.00656106844772733
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-NORM","BARCS-EB","negative_control_p_below_0_05",5,0.028695652173913,0.0263303859628518,-0.00399784013496974,0.0613891444827958
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-EB","auroc",5,-0.0281842038925568,0.0179999992618539,-0.0505341549436951,-0.00583425284141847
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-EB","average_precision",5,-0.0704976727736934,0.0205675852330804,-0.0960357028875967,-0.0449596426597901
