"scenario_id","metric","method","reference","n","mean_difference","sd_difference","lower_95","upper_95"
"moi_0.25_quality_0.6_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-partial",5,-0.003125,0.00698771242968684,-0.0118013909537431,0.00555139095374311
"moi_0.25_quality_0.75_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-partial",5,0.0019530067702112,0.0103288757103131,-0.010871986341206,0.0147779998816284
"moi_0.25_quality_0.9_genes_100_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-partial",5,0,0,0,0
"moi_0.25_quality_0.9_genes_1000_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-partial",5,0.000900900900900803,0.002014475655405,-0.00160040099567351,0.00340220279747512
"moi_0.25_quality_0.9_genes_400_replicates_1","direction_accuracy_active","BARCS-EB","BARCS-partial",5,-0.00449242988334582,0.0062337384267862,-0.0122326384621056,0.00324777869541398
"moi_0.25_quality_0.9_genes_400_replicates_3","direction_accuracy_active","BARCS-EB","BARCS-partial",5,0.00196078431372539,0.00438444701470526,-0.00348322569646609,0.00740479432391688
"moi_0.25_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-partial",5,0,0,0,0
"moi_0.25_quality_0.9_genes_400_replicates_6","direction_accuracy_active","BARCS-EB","BARCS-partial",5,0,0,0,0
"moi_0.4_quality_0.9_genes_400_replicates_4","direction_accuracy_active","BARCS-EB","BARCS-partial",5,-0.0021739130434782,0.00486101734239072,-0.0082096632721689,0.00386183718521249
"moi_0.1_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.316533861388988,0.091082591972825,-0.429627836704728,-0.203439886073248
"moi_0.25_quality_0.6_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.215682255695801,0.105448636852306,-0.346614031734972,-0.0847504796566299
"moi_0.25_quality_0.75_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.374253152079535,0.146939823339987,-0.556703040623218,-0.191803263535853
"moi_0.25_quality_0.9_genes_100_replicates_4","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.337284179117871,0.143622565425882,-0.515615147936853,-0.158953210298889
"moi_0.25_quality_0.9_genes_1000_replicates_4","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.290392963207606,0.0806576997261896,-0.390542725135545,-0.190243201279667
"moi_0.25_quality_0.9_genes_400_replicates_1","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,0.128342236179006,0.030354800253222,0.0906517735319141,0.166032698826099
"moi_0.25_quality_0.9_genes_400_replicates_3","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.258422451717799,0.0791112481872792,-0.356652040444907,-0.160192862990692
"moi_0.25_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.31431584778472,0.131182346197493,-0.477200244258049,-0.151431451311391
"moi_0.25_quality_0.9_genes_400_replicates_6","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.260379674893256,0.0889604152963451,-0.370838619831983,-0.149920729954529
"moi_0.4_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-partial","BARCS-original",5,-0.241371254060237,0.121425672777134,-0.392141140405275,-0.0906013677151995
"moi_0.1_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.205284801133809,0.0972548352594364,-0.326042628726689,-0.0845269735409288
"moi_0.25_quality_0.6_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.188578431372549,0.126102845265993,-0.345155794410393,-0.0320010683347054
"moi_0.25_quality_0.75_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.274944712444844,0.0906640205187757,-0.387518962655415,-0.162370462234272
"moi_0.25_quality_0.9_genes_100_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.215933279490286,0.147241150159861,-0.3987573146979,-0.0331092442826718
"moi_0.25_quality_0.9_genes_1000_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.191768271441937,0.0464945803363746,-0.249498917957206,-0.134037624926668
"moi_0.25_quality_0.9_genes_400_replicates_1","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,0.117285369477088,0.0882748349978552,0.00767768491287384,0.226893054041303
"moi_0.25_quality_0.9_genes_400_replicates_3","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.222554307358607,0.0756090463057778,-0.316435338095012,-0.128673276622201
"moi_0.25_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.213642684738544,0.105092724444938,-0.344132537154972,-0.0831528323221167
