"analysis_protocol","moi","design","method","nominal_fdr","runs","precision","recall","directional_recall","realized_fdp","realized_fdp_sd","f1","f1_sd","calls"
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.01,3,0.99437765990668,0.604861992147784,0.604861992147784,0.0056223400933198,0.00212089791280526,0.752123489669086,0.0105928498567219,1184
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.03,3,0.982172424785213,0.688241777540366,0.688241777540366,0.0178275752147868,0.00241536139364727,0.809269978421273,0.0113135111228837,1364
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.05,3,0.971077616581675,0.723877574537472,0.723877574537472,0.0289223834183246,0.00473134605781546,0.829405448950132,0.00860102720461563,1451
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.1,3,0.93659489573873,0.776112750775867,0.776112750775867,0.0634051042612696,0.00257429266832981,0.848789559396722,0.00636978044832983,1613
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-moderated",0.2,3,0.865951951065158,0.833302955115612,0.832960095776278,0.134048048934842,0.0064265191656038,0.849232119318247,0.00520281047019996,1873.33333333333
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",1e-06,3,0,0,0,0,0,0,0,0
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",3e-06,3,0,0,0,0,0,0,0,0
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",1e-05,3,0.333333333333333,0.000170940170940171,0.000170940170940171,0,0,0.000341705108491372,0.000591850609112892,0.333333333333333
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",3e-05,3,0.666666666666667,0.00102354360023072,0.00102354360023072,0,0,0.00204360432697669,0.00204082203963828,2
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",1e-04,3,1,0.0051241860574758,0.0051241860574758,0,0,0.0101589489828662,0.0105184869986752,10
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",3e-04,3,1,0.0316923553807954,0.0316923553807954,0,0,0.0614173905095013,0.00767447260380491,61.6666666666667
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",0.001,3,1,0.0921229788985495,0.0921229788985495,0,0,0.168592959830675,0.0174790582894247,179.333333333333
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",0.003,3,1,0.181882650350368,0.181882650350368,0,0,0.307713122328434,0.0134967673891621,354
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",0.01,3,0.996126767054774,0.314262230205026,0.314262230205026,0.00387323294522588,0.00267357279119132,0.477693805802572,0.0160386701088415,614
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",0.03,3,0.988937761523838,0.451229191658703,0.451229191658703,0.0110622384761618,0.00678055040731079,0.619593702537751,0.0190891410371833,888
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",0.05,3,0.980411277163419,0.524025507861371,0.524025507861371,0.0195887228365811,0.00343022517186245,0.682927684633331,0.0131197462324147,1040.33333333333
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",0.1,3,0.958630772723161,0.614951623718409,0.614951623718409,0.0413692272768386,0.000647793923883593,0.749204132924926,0.00956392497466456,1248.66666666667
"crispulator-moi-10k-v1",0.2,"low-high","BARCS-original",0.2,3,0.898775887188324,0.720634885137883,0.720634885137883,0.101224112811676,0.00752088165841579,0.799865711101176,0.00797537489493584,1560.66666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",1e-06,3,1,0.164397069539716,0.164397069539716,0,0,0.282359549512985,0.00585478474199735,320
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",3e-06,3,1,0.194048351135272,0.194048351135272,0,0,0.325022188173503,0.00307580299597008,377.666666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",1e-05,3,1,0.23738995264327,0.23738995264327,0,0,0.383673334054046,0.00718089878698937,462
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",3e-05,3,1,0.283475756439648,0.283475756439648,0,0,0.441679959518878,0.0109512774611383,551.666666666667
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",1e-04,3,1,0.335517827125868,0.335517827125868,0,0,0.502433971123516,0.00663751535423768,653
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",3e-04,3,0.999565972222222,0.393069840332812,0.393069840332812,0.000434027777777778,0.000751758163007325,0.564235221594981,0.00610761680750587,765.333333333333
"crispulator-moi-10k-v1",0.3,"low-bulk-high","BARCS-moderated",0.001,3,0.998580049698261,0.4701187896358,0.4701187896358,0.00141995030173944,0.00245942606683547,0.63923451164538,0.00760514308720717,916.333333333333
