"analysis_protocol","moi","design","scope","method","metric","runs","mean","sd","se"
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","MAGeCK-MLE","negative_control_gene_p_below_0_05",0,NA,NA,NA
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","DESeq2","auroc",3,0.954044601965736,0.00206970473162841,0.0011949445839487
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","DESeq2","average_precision",3,0.918486916630121,0.00258252215848757,0.00149101986339097
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","DESeq2","effect_spearman_active",3,0.921483611664528,0.00258877338963483,0.00149462901337661
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","DESeq2","calls",3,2220.66666666667,44.0605643782888,25.4383787044519
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","DESeq2","directional_recall",3,0.870521404983143,0.0030318940584982,0.00175046485082837
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","DESeq2","realized_fdp",3,0.236295961444131,0.00904687037502312,0.00522321304634325
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","DESeq2","f1",3,0.813893801525174,0.00445895312230526,0.00257437778546686
"crispulator-moi-10k-v1",0.3,"low-bulk-high","supplementary","DESeq2","negative_control_gene_p_below_0_05",3,0.118654404802029,0.024947632007936,0.0144035220554256
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-original","auroc",3,0.940874801906008,0.000535000483153734,0.000308882672965388
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-original","average_precision",3,0.88825513646017,0.00212051234558724,0.00122427837354472
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-original","effect_spearman_active",3,0.922887469073591,0.00267676159085465,0.00154542902503638
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-original","calls",3,1239.66666666667,29.5691280448601,17.0717440364025
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-original","directional_recall",3,0.615856529320296,0.0121148636010084,0.00699451976123781
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-original","realized_fdp",3,0.0330276672551598,0.00355769504251772,0.0020540361904922
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-original","f1",3,0.752414030343447,0.00856221704230473,0.00494339831423464
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-original","negative_control_gene_p_below_0_05",3,0.0315808817628838,0.00320936817496369,0.00185292957974391
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-moderated","auroc",3,0.955518726339299,0.00199271495031017,0.00115049451297977
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-moderated","average_precision",3,0.921483660507998,0.00315278185886951,0.00182025945491448
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-moderated","effect_spearman_active",3,0.922887469073591,0.00267676159085465,0.00154542902503638
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-moderated","calls",3,1610.66666666667,21.0317220724631,12.142670400058
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-moderated","directional_recall",3,0.778031479718707,0.00340733599994344,0.00196722635678685
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-moderated","realized_fdp",3,0.0597867974639802,0.00264254385045263,0.00152567340340422
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-moderated","f1",3,0.851461074913797,0.000960486064862478,0.000554536888101236
"crispulator-moi-10k-v1",0.3,"low-high","supplementary","BARCS-moderated","negative_control_gene_p_below_0_05",3,0.0492317075127995,0.0164151063570385,0.0094772660740125
