"gene","guide","estimate","std_error","t_value","df","p_value","fdr","rho","pearson_null","mean_cpm","converged","control","raw_std_error","raw_t_value","raw_p_value","raw_fdr"
"NTCTRL","NTCTRL_28",-0.0173120534007324,0.111394585607929,-0.155411982604477,12,0.879080134950805,0.991470511544439,0.000188547216488538,6178.28479483044,3821.63781560879,TRUE,TRUE,0.111394585607929,-0.155411982604477,0.879080134950805,0.991470511544439
"NTCTRL","NTCTRL_50",0.0303874818244019,0.119966195679415,0.253300370594448,12,0.804323562781161,0.991470511544439,0.000203821982897759,6772.7353388537,3561.14384896317,TRUE,TRUE,0.119966195679415,0.253300370594448,0.804323562781161,0.991470511544439
"NTCTRL","NTCTRL_45",-0.0634901064214773,0.0793135759884907,-0.800494816053817,12,0.438985440595367,0.960298455240703,9.75318956483594e-05,3221.88002153789,3910.55187267794,TRUE,TRUE,0.0793135759884907,-0.800494816053817,0.438985440595367,0.960298455240703
"NTCTRL","NTCTRL_2",-0.0495895679780443,0.115193764063537,-0.430488302740871,12,0.674470895983725,0.991470511544439,0.000188697193070308,6448.72146145189,3577.20416209778,TRUE,TRUE,0.115193764063537,-0.430488302740871,0.674470895983725,0.991470511544439
"NTCTRL","NTCTRL_8",-0.0495752677426897,0.0916371287355963,-0.540995428673141,12,0.598410201688584,0.991470511544439,0.000138033139804299,4815.31148112489,4140.64833860187,TRUE,TRUE,0.0916371287355963,-0.540995428673141,0.598410201688584,0.991470511544439
"TNF","TNF_6",-0.180723113691823,0.107785708621571,-1.67668901566841,12,0.119438546095631,0.627637850071158,0.00013248957257844,4421.01066105507,2890.67486286195,TRUE,FALSE,0.107785708621571,-1.67668901566841,0.119438546095631,0.627637850071158
"NTCTRL","NTCTRL_17",-0.0705452425674361,0.0920856077431669,-0.766083259874786,12,0.458431798548182,0.967399385912699,0.000108129884845222,3577.92781330746,3213.32316626566,TRUE,TRUE,0.0920856077431669,-0.766083259874786,0.458431798548182,0.967399385912699
"NTCTRL","NTCTRL_23",-0.0700014304214823,0.0723132860684104,-0.968030001502891,12,0.352135572668952,0.946458807590111,8.53252978479889e-05,2984.20549315559,4119.23304443616,TRUE,TRUE,0.0723132860684104,-0.968030001502891,0.352135572668952,0.946458807590111
"LRIG3","LRIG3_2",-0.106091299803177,0.0887822821703911,-1.19496026920739,12,0.255185602988765,0.929448909667093,0.000110086974412439,4184.98205867457,3525.82456316607,TRUE,FALSE,0.0887822821703911,-1.19496026920739,0.255185602988765,0.929448909667093
"P2RY8","P2RY8_1",-0.0877552073997746,0.09471885280507,-0.926480893728448,12,0.372454611636494,0.946458807590111,0.000173136166270284,6269.73532169239,4868.82055037676,TRUE,FALSE,0.09471885280507,-0.926480893728448,0.372454611636494,0.946458807590111
