gene,guide,estimate,std_error,t_value,df,p_value,fdr,rho,mean_cpm,converged,control,dispersion_boundary,raw_std_error,raw_t_value,raw_p_value,raw_fdr
GPR65,GPR65_1,-0.01081860489934661,0.3671363802054656,-0.029467537086060622,5,0.9776317360767658,0.9939665096790304,0.001042179879320444,3882.1997996385,true,false,false,0.3671363802054656,-0.029467537086060622,0.9776317360767658,0.9939665096790304
NTCTRL,NTCTRL_49,0.21968634381198113,0.17746587705271502,1.2379075203664354,5,0.2707048791911001,0.9382886371111536,0.0002630872681747803,4249.305150680499,true,true,false,0.17746587705271502,1.2379075203664354,0.2707048791911001,0.9382886371111536
GPR65,GPR65_4,0.033487297247148565,0.11249589271371908,0.2976757323253343,5,0.77792238426031,0.9707892086745932,0.00009945331013392689,3956.832901695399,true,false,false,0.11249589271371908,0.2976757323253343,0.77792238426031,0.9707892086745932
NTCTRL,NTCTRL_18,-0.012099608103021669,0.19825704832625293,-0.06102990135871732,5,0.9536997676135617,0.9831576754935173,0.00024134244998939207,3083.1267453734595,true,true,false,0.19825704832625293,-0.06102990135871732,0.9536997676135617,0.9831576754935173
H2AFB3,H2AFB3_3,-0.1923631009065574,0.16149033272583727,-1.1911740948180034,5,0.28704255486261465,0.9382886371111536,0.00014951333966873605,2906.6707926215645,true,false,false,0.16149033272583727,-1.1911740948180034,0.28704255486261465,0.9382886371111536
NTCTRL,NTCTRL_5,-0.5636669318434475,0.40468365563399905,-1.3928581596911216,5,0.2224228408924629,0.8743268416180361,0.0017077401918830773,5665.059953829159,true,true,false,0.40468365563399905,-1.3928581596911216,0.2224228408924629,0.8743268416180361
ADORA2A,ADORA2A_3,0.10949267714911713,0.24919329753164418,0.4393885318493088,5,0.6787204873564936,0.9707892086745932,0.0005299814449393392,4301.783998093661,true,false,false,0.24919329753164418,0.4393885318493088,0.6787204873564936,0.9707892086745932
RHOG,RHOG_6,-0.515063465384493,0.21682830918154447,-2.375443812335613,5,0.06352254979495031,0.6212325124191653,0.00039438900722470725,4498.310249495774,true,false,false,0.21682830918154447,-2.375443812335613,0.06352254979495031,0.6212325124191653
ADORA2A,ADORA2A_1,0.054185565317036735,0.10913348022662912,0.49650726069134543,5,0.6405918221416763,0.9707892086745932,0.000053117607697885225,2248.0440021135882,true,false,false,0.10913348022662912,0.49650726069134543,0.6405918221416763,0.9707892086745932
SPTLC2,SPTLC2_1,0.19340241840879333,0.17636874904553776,1.096579861542577,5,0.32280860849614423,0.9382886371111536,0.00019972545714667277,3255.18832445962,true,false,false,0.17636874904553776,1.096579861542577,0.32280860849614423,0.9382886371111536
NTCTRL,NTCTRL_46,-0.44740013128773753,0.43207065926418314,-1.035479085873733,5,0.3479047755580682,0.9382886371111536,0.0010070348148785223,2842.1862355641892,true,true,false,0.43207065926418314,-1.035479085873733,0.3479047755580682,0.9382886371111536
STT3B,STT3B_1,-0.06802568743569633,0.27281785028832023,-0.24934470880041465,5,0.8130134834895403,0.9707892086745932,0.0004799966046997646,3240.9311910120414,true,false,false,0.27281785028832023,-0.24934470880041465,0.8130134834895403,0.9707892086745932
NTCTRL,NTCTRL_25,-0.27388937049341194,0.19336506211291365,-1.4164367000977502,5,0.21582295696447806,0.8743268416180361,0.0001996920708881183,2731.5629698036864,true,true,false,0.19336506211291365,-1.4164367000977502,0.21582295696447806,0.8743268416180361
NFKBIA,NFKBIA_2,0.17029560834219976,0.13536827865055479,1.2580170926292695,5,0.2639364837292666,0.9272505415225549,0.0001395438308171075,3857.3606408697815,true,false,false,0.13536827865055479,1.2580170926292695,0.2639364837292666,0.9272505415225549
PPP6C,PPP6C_1,0.21994352665296316,0.1613243469504542,1.3633622624891955,5,0.23094712751735635,0.8781714127551521,0.0000639522175641024,1250.448759072176,true,false,false,0.1613243469504542,1.3633622624891955,0.23094712751735635,0.8781714127551521
RASA2,RASA2_3,0.20325517033596044,0.14260419085351117,1.4253099373829232,5,0.21338764888055683,0.8743268416180361,0.00013846057964374825,3458.582141944927,true,false,false,0.14260419085351117,1.4253099373829232,0.21338764888055683,0.8743268416180361
NTCTRL,NTCTRL_28,0.15587915117397036,0.15487745334028213,1.0064676801696073,5,0.3603850130513372,0.9440421243033528,0.00016866437055721605,3555.21496417232,true,true,false,0.15487745334028213,1.0064676801696073,0.3603850130513372,0.9440421243033528
VAV1,VAV1_2,-0.08460794353752248,0.35322520707806165,-0.2395297443164196,5,0.8202042247697596,0.9707892086745932,0.0003651604803408248,1469.227920769885,true,false,false,0.35322520707806165,-0.2395297443164196,0.8202042247697596,0.9707892086745932
P2RY8,P2RY8_5,-0.008055413701977446,0.100795972994356,-0.0799180112327355,5,0.9394025626412031,0.9831576754935173,0.00008083474706396942,4008.011964607311,true,false,false,0.100795972994356,-0.0799180112327355,0.9394025626412031,0.9831576754935173
RASA2,RASA2_2,0.07293093348572137,0.26071996450918505,0.279728994375312,5,0.7908883125207569,0.9707892086745932,0.0006670013236647827,4939.070646039162,true,false,false,0.26071996450918505,0.279728994375312,0.7908883125207569,0.9707892086745932
ZC3H12A,ZC3H12A_4,-0.9504685884920488,0.8658680060778767,-1.0977060958718032,5,0.32236095136725107,0.9382886371111536,0.0012071742163897484,1001.7888439500837,true,false,false,0.8658680060778767,-1.0977060958718032,0.32236095136725107,0.9382886371111536
CBLB,CBLB_4,0.07625414128374093,0.08263423808408876,0.9227911220787752,5,0.3984595152565411,0.9440421243033528,0.00005497909687308034,4068.3579249137574,true,false,false,0.08263423808408876,0.9227911220787752,0.3984595152565411,0.9440421243033528
ADRB1,ADRB1_5,0.28650751252225676,0.4062670084625072,0.7052197361693903,5,0.5121612497024661,0.9707892086745932,0.0014867300712904906,4617.7397821910845,true,false,false,0.4062670084625072,0.7052197361693903,0.5121612497024661,0.9707892086745932
NTCTRL,NTCTRL_13,-0.0186957109558832,0.16776181535829482,-0.11144199242213797,5,0.915601279100213,0.9778621660790275,0.00025335165378529583,4527.17621648625,true,true,false,0.16776181535829482,-0.11144199242213797,0.915601279100213,0.9778621660790275
NTCTRL,NTCTRL_2,-0.01588885202315242,0.1824040769248978,-0.08710798733788401,5,0.9339666297515182,0.9831576754935173,0.0003262515445494464,4932.28789446315,true,true,false,0.1824040769248978,-0.08710798733788401,0.9339666297515182,0.9831576754935173
CDKN1B,CDKN1B_4,-0.2834901667813369,0.08242374851099436,-3.439423368903474,5,0.018446852034170704,0.4239844248890912,0.00005153982300021664,3905.1284189099856,true,false,false,0.08242374851099436,-3.439423368903474,0.018446852034170704,0.4239844248890912
PTGER4,PTGER4_6,0.15171849410436025,0.23492928674517113,0.645804940739168,5,0.5468705977271106,0.9707892086745932,0.00035049012848111226,3206.1194826078545,true,false,false,0.23492928674517113,0.645804940739168,0.5468705977271106,0.9707892086745932
NTCTRL,NTCTRL_50,0.07447934706685587,0.1788267660148343,0.41648881052111375,5,0.6943274898562841,0.9707892086745932,0.00020893129611742375,3286.2132213932523,true,true,false,0.1788267660148343,0.41648881052111375,0.6943274898562841,0.9707892086745932
DGKZ,DGKZ_4,0.16912644133118931,0.2523941832098004,0.6700885067173061,5,0.5324995514996711,0.9707892086745932,0.000488814709264004,3881.3820037741216,true,false,false,0.2523941832098004,0.6700885067173061,0.5324995514996711,0.9707892086745932
DGKZ,DGKZ_6,0.0009973787457157187,0.12900070902791136,0.0077315756884709826,5,0.9941301544680353,0.9941301544680353,0.00010756138625476599,3251.1921500313115,true,false,false,0.12900070902791136,0.0077315756884709826,0.9941301544680353,0.9941301544680353
