"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"CHAF1B",6,0.770809082068775,6.29985383608836e-09,1.53700280129181e-06,1,1.15494334255549,0.978166727433865,1.68491285739446e-09,0.99146,2.5962e-09,2.6138e-07,4.9e-05,TRUE,78,76
"RPL36",6,0.578061082965023,4.55498575980917e-09,1.14054446064695e-06,1,1.15494334255549,0.978166727433865,1.10397251881615e-09,0.75892,4.4512e-07,7.8413e-07,0.000122,TRUE,76,142
"GIGYF2",6,0.410099142475643,5.57203436013946e-09,1.37708849186304e-06,1,1.15494334255549,0.978166727433865,1.44013807632373e-09,0.68617,3.3931e-09,2.6138e-07,4.9e-05,TRUE,77,83
"FAM49B",6,0.313267367384059,8.37500316099846e-06,0.000900431130812434,1,1.15494334255549,0.978166727433865,1.53077752543889e-05,0.56397,2.8834e-09,2.6138e-07,4.9e-05,TRUE,177,78
"RPS11",6,0.497992336066243,6.71543452709426e-09,1.61765467152663e-06,1,1.15494334255549,0.978166727433865,1.81733068115633e-09,0.64974,7.1494e-07,7.8413e-07,0.000122,TRUE,79,151
"RPS4X",6,0.50622040042499,2.15807887079082e-08,4.66684555808514e-06,1,1.15494334255549,0.978166727433865,8.20223681972172e-09,0.69752,2.9764e-09,2.6138e-07,4.9e-05,TRUE,88,79
"PITPNB",6,0.346923896950839,7.51678243798232e-09,1.78805462243505e-06,1,1.15494334255549,0.978166727433865,2.09754813030346e-09,0.53867,2.8641e-08,2.6138e-07,4.9e-05,TRUE,80,100
"TRAF6",6,-0.514464569086597,1.06883551105318e-07,1.99411174268059e-05,1,1.15494334255549,0.978166727433865,6.4630356459076e-08,-0.74108,3.0252e-09,2.6138e-07,0.00015,FALSE,102,80
"CBFB",6,0.431197260106864,8.80090766869731e-09,2.04245454799158e-06,1,1.15494334255549,0.978166727433865,2.54540709068306e-09,0.64442,6.4184e-07,7.8413e-07,0.000122,TRUE,82,150
"CENPE",6,0.379443591646274,2.30655263073377e-07,3.91057400472934e-05,1,1.15494334255549,0.978166727433865,1.70359328926508e-07,0.6139,3.1589e-09,2.6138e-07,4.9e-05,TRUE,112,82
"RPL24",6,0.540408286907282,3.93685229820742e-07,6.29565539788968e-05,1,1.15494334255549,0.978166727433865,3.35520074626567e-07,0.81147,4.0432e-09,2.6138e-07,4.9e-05,TRUE,119,84
"RHOG",6,-0.389554300775443,5.50344699170326e-07,8.44601582678331e-05,0.833333333333333,1.15494334255549,0.978166727433865,5.11359443826309e-07,-0.57859,5.4366e-09,2.6138e-07,0.00015,FALSE,124,86
"LOC401052",6,0.508810319598344,1.67160227874065e-08,3.65638981200397e-06,1,1.15494334255549,0.978166727433865,5.82724008915446e-09,0.48572,3.0831e-06,2.3524e-06,0.000282,TRUE,87,200
"RPL8",6,0.388585981480646,1.28431333654975e-06,0.000170912467094697,1,1.15494334255549,0.978166727433865,1.4281902852112e-06,0.82348,6.7002e-09,2.6138e-07,4.9e-05,TRUE,143,88
"RPL15",6,0.572197539932562,2.26857643445011e-08,4.85067523006581e-06,1,1.15494334255549,0.978166727433865,8.68994284156376e-09,0.93274,2.6897e-08,2.6138e-07,4.9e-05,TRUE,89,99
"RPS7",6,0.494535825547683,3.74723793180694e-07,6.09486648224667e-05,0.833333333333333,1.15494334255549,0.978166727433865,3.18768388685491e-07,1.0454,1.21e-08,2.6138e-07,4.9e-05,TRUE,117,91
"TSG101",6,0.445707384014776,2.64605662907393e-08,5.5334568847557e-06,1,1.15494334255549,0.978166727433865,1.05149977482296e-08,0.87916,2.2303e-08,2.6138e-07,4.9e-05,TRUE,91,94
"KANSL3",6,0.424794915634902,9.03623893906276e-07,0.000128328079858481,1,1.15494334255549,0.978166727433865,9.38243413751015e-07,0.69616,1.3211e-08,2.6138e-07,4.9e-05,TRUE,134,92
"RPL14",6,0.516923534322035,3.37922973276975e-08,6.91470342092563e-06,1,1.15494334255549,0.978166727433865,1.44294034700034e-08,0.62568,1.9498e-07,2.6138e-07,4.9e-05,TRUE,93,131
"SULT2B1",6,-0.330766545637976,1.8555311640902e-06,0.000230789268317886,0.833333333333333,1.15494334255549,0.978166727433865,2.21764382591056e-06,-0.44459,1.3604e-08,2.6138e-07,0.00015,FALSE,153,93
"SRP68",6,-0.54811551105704,4.2497542424081e-08,8.60349183330065e-06,0.833333333333333,1.15494334255549,0.978166727433865,1.95993791820006e-08,-0.71289,4.0147e-08,2.6138e-07,0.00015,FALSE,94,109
"RPL18",6,0.344436135060331,0.000216182981224077,0.013841457132507,1,1.15494334255549,0.978166727433865,0.000796955662783487,0.78261,2.2914e-08,2.6138e-07,4.9e-05,TRUE,297,95
"PSMD2",6,0.527945254774086,1.64416562498948e-06,0.000208589812290332,1,1.15494334255549,0.978166727433865,1.91441814351904e-06,0.78334,2.397e-08,2.6138e-07,4.9e-05,TRUE,150,96
"RBM25",6,0.457492944868684,4.44131241908315e-08,8.8039765974117e-06,0.833333333333333,1.15494334255549,0.978166727433865,2.03972587966607e-08,0.48174,7.2068e-08,2.6138e-07,4.9e-05,TRUE,96,119
"AATF",6,0.468469032946139,4.77141951691248e-08,9.36083643369532e-06,1,1.15494334255549,0.978166727433865,2.22904256349847e-08,0.55222,3.2425e-06,2.3524e-06,0.000282,TRUE,97,202
"GCN1",6,0.341475329438319,5.99319611623525e-08,1.16378083767303e-05,1,1.15494334255549,0.978166727433865,3.02371114719624e-08,0.47019,2.2377e-05,3.424e-05,0.00287,TRUE,98,289
"STAT5B",6,0.395774589014795,4.52850842195815e-07,7.12210869998872e-05,0.833333333333333,1.15494334255549,0.978166727433865,4.0035438016017e-07,0.6752,2.4433e-08,2.6138e-07,4.9e-05,TRUE,121,98
"GINS3",6,0.428471468415245,7.83455210481192e-08,1.50597501570274e-05,1,1.15494334255549,0.978166727433865,4.33476749957406e-08,0.5123,2.5292e-06,1.8296e-06,0.000231,TRUE,99,190
"SMC1A",6,0.497999454763976,8.57720866670394e-08,1.63224280927376e-05,0.833333333333333,1.15494334255549,0.978166727433865,4.86365906315854e-08,0.67061,5.9394e-07,7.8413e-07,0.000122,TRUE,100,148
"DNTTIP2",6,0.491298987255812,8.91177743071842e-08,1.67912004461952e-05,0.833333333333333,1.15494334255549,0.978166727433865,5.0770321117249e-08,0.75617,1.9767e-05,3.2149e-05,0.002793,TRUE,101,280
"RBM42",6,0.40026015635049,7.69724525652113e-07,0.000111815707810379,1,1.15494334255549,0.978166727433865,7.69151726183813e-07,0.65597,2.9429e-08,2.6138e-07,4.9e-05,TRUE,131,102
"CHMP6",6,0.394496713129727,1.19556520770817e-06,0.000161358907111251,0.833333333333333,1.15494334255549,0.978166727433865,1.31217774852612e-06,0.8484,3.0302e-08,2.6138e-07,4.9e-05,TRUE,141,103
"DGKZ",6,0.386277790121601,1.12060208792228e-07,2.07039395467583e-05,1,1.15494334255549,0.978166727433865,6.83258706660976e-08,0.62666,6.3072e-08,2.6138e-07,4.9e-05,TRUE,103,117
"TAF2",6,-0.395130243099377,1.81362090827681e-06,0.000227060565029656,1,1.15494334255549,0.978166727433865,2.16298291915226e-06,-0.611,3.1836e-08,2.6138e-07,0.00015,FALSE,152,104
"CTDSPL2",6,0.298561423707273,1.60113241758961e-07,2.90186189587908e-05,1,1.15494334255549,0.978166727433865,1.09742806351397e-07,0.42542,1.0448e-07,2.6138e-07,4.9e-05,TRUE,105,122
"CHMP5",6,0.485501742669887,1.68958077591839e-07,3.03327567601198e-05,0.833333333333333,1.15494334255549,0.978166727433865,1.17090822366005e-07,0.67632,7.9114e-08,2.6138e-07,4.9e-05,TRUE,106,120
"PCBP1",6,0.33479217506571,3.77180816435977e-06,0.000445823039551344,0.833333333333333,1.15494334255549,0.978166727433865,5.60553089831195e-06,0.72907,3.4524e-08,2.6138e-07,4.9e-05,TRUE,161,106
"ZMAT2",6,0.37659712049226,1.9637044566176e-07,3.49245755228346e-05,1,1.15494334255549,0.978166727433865,1.42776302070815e-07,0.46693,1.3996e-06,1.3069e-06,0.000188,TRUE,107,169
"BCL10",6,-0.440491988744831,9.80911102860987e-05,0.00732028952448807,0.833333333333333,1.15494334255549,0.978166727433865,0.000313721662979426,-0.48711,3.6199e-08,2.6138e-07,0.00015,FALSE,255,108
