"gene","n_guides","barcs_estimate","barcs_p","barcs_fdr","barcs_agreement","barcs_null_scale","barcs_control_scale","barcs_control_scale_fdr","mageck_lfc","mageck_score","mageck_p","mageck_fdr","mageck_enriched","barcs_rank","mageck_rank"
"CEACAM7",6,-0.520463859881583,0.00134328713723004,0.113759629434169,1,1.59586015040928,1.51911868264771,0.0634362770198536,-0.86315,2.9395e-07,2.615e-07,6.7e-05,FALSE,224,93
"RYR1",6,0.56629548044617,7.02033617539279e-05,0.0143199760480861,0.833333333333333,1.59586015040928,1.51911868264771,0.00598764212747919,1.0212,3.6359e-07,7.8451e-07,0.000256,TRUE,93,98
"PDE3A",6,0.436796940224304,0.00130821811668216,0.112804080333912,0.666666666666667,1.59586015040928,1.51911868264771,0.0627431543279301,0.693,2.9437e-07,2.615e-07,9.9e-05,TRUE,220,94
"PTPN12",6,-0.594485199187277,7.44457490723981e-05,0.0146702165870612,0.833333333333333,1.59586015040928,1.51911868264771,0.00618047005430719,-0.80548,2.1274e-06,2.615e-07,6.7e-05,FALSE,94,145
"SLC39A2",6,-0.467765878134066,7.50102417748722e-05,0.0146702165870612,1,1.59586015040928,1.51911868264771,0.00618047005430719,-0.59686,1.6341e-05,4.5763e-05,0.007405,FALSE,95,234
"FCHSD2",6,0.414099040831473,0.00377990415840433,0.210783266837583,0.666666666666667,1.59586015040928,1.51911868264771,0.129828217926816,0.83062,3.1185e-07,2.615e-07,9.9e-05,TRUE,340,96
"PTPN22",6,-0.577766146514111,7.55595758104615e-05,0.0146702165870612,0.833333333333333,1.59586015040928,1.51911868264771,0.00618047005430719,-0.94086,2.082e-06,2.615e-07,6.7e-05,FALSE,96,143
"ARHGAP30",6,-0.502158041652102,7.56395448635618e-05,0.0146702165870612,1,1.59586015040928,1.51911868264771,0.00618047005430719,-0.68036,1.8967e-06,2.615e-07,6.7e-05,FALSE,97,136
"ZNF296",6,0.526760591619917,0.000271504447737347,0.0373220244462136,0.833333333333333,1.59586015040928,1.51911868264771,0.0178194055274626,0.94068,3.159e-07,2.615e-07,9.9e-05,TRUE,138,97
"OTOG",6,-0.456339229554577,7.57870967597258e-05,0.0146702165870612,0.666666666666667,1.59586015040928,1.51911868264771,0.00618047005430719,-0.49645,7.1544e-07,2.615e-07,6.7e-05,FALSE,98,111
"DOCK5",6,0.547888728186892,8.26890771682042e-05,0.0158445635745539,1,1.59586015040928,1.51911868264771,0.00673270270810352,0.75614,4.4851e-06,9.6756e-06,0.002105,TRUE,99,169
"MAP3K12",6,0.706795104370435,0.0010005538469618,0.092587836472514,0.833333333333333,1.59586015040928,1.51911868264771,0.0501822505682794,1.1491,3.9872e-07,7.8451e-07,0.000256,TRUE,205,100
"PRDX2",6,-0.514314208941355,8.57970305076344e-05,0.0162756966872982,1,1.59586015040928,1.51911868264771,0.00694104374783648,-0.53788,0.00023973,0.00041187,0.027988,FALSE,100,555
"LMNA",6,0.425527451866035,8.84039102326675e-05,0.0166041799714228,1,1.59586015040928,1.51911868264771,0.00710200428755769,0.56006,8.7847e-05,0.0001922,0.017303,TRUE,101,407
"CLSTN2",6,0.338744237620762,0.0368406677420163,0.603512493148575,1,1.59586015040928,1.51911868264771,0.461704978655506,0.94856,5.4075e-07,7.8451e-07,0.000256,TRUE,1153,102
"PRKAA2",6,0.489277032547312,9.61584922989218e-05,0.017709966979714,0.833333333333333,1.59586015040928,1.51911868264771,0.00763784894103442,0.42139,2.3401e-06,1.8305e-06,0.00045,TRUE,103,152
"SMOC2",6,-0.572425097087073,0.000222714408256186,0.0327511032916267,1,1.59586015040928,1.51911868264771,0.0153371666738665,-0.99826,5.7303e-07,2.615e-07,6.7e-05,FALSE,129,103
"UBASH3A",6,-0.532723277925382,0.000100317939536808,0.0182983780097428,1,1.59586015040928,1.51911868264771,0.00792452557680441,-0.80603,1.4118e-06,2.615e-07,6.7e-05,FALSE,104,127
"PLSCR1",6,-0.48430179206215,0.000102110406446938,0.0184479467647467,1,1.59586015040928,1.51911868264771,0.00800321456420801,-0.7809,5.7801e-06,5.4915e-06,0.001181,FALSE,105,179
